SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.424804688;0;0;0
39.1875;20.09594175;193;3.956167111
117.6875;64.49091982;351;11.32053521
203.8125;112.2695299;461;17.01676885
290.5;151.0323897;514;20.57840858
325.875;167.6863545;508;21.64161886
328.25;174.7227934;442;20.08444473
234.75;140.9625197;321;16.08327567
108.5;72.65173375;154;10.03276275
11.90625;13.73129257;0;2.403873098
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.379760742;0;0;0
34.921875;18.22439043;196;4.090556907
109.71875;60.86175592;355;11.47518504
190.6875;105.5414795;465;17.193494
259.5;136.7579565;519;20.77593572
275.5;145.194554;513;21.85501078
267.75;147.1946579;447;20.30627574
200.375;122.9702986;326;16.30621546
94.3125;65.61110382;159;10.25168536
14.8984375;16.97318596;0;2.616398935
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
1.521972656;0;3;0
82.96875;36.94691871;200;4.231420561
218.5625;117.7997123;359;11.63640455
326.875;166.9374006;469;17.37683323
390.5;191.5372938;524;20.97998247
401.25;197.372254;518;22.07461028
358.25;186.7249385;452;20.53377503
266.875;156.4233156;332;16.53414152
139.5625;86.60871813;165;10.47489656
19.5703125;21.57756923;0;2.832602408
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.30480957;0;6;0
16.8359375;9.332511485;204;4.378730274
49.015625;29.6626372;363;11.80415529
91.0625;52.83660657;474;17.56673794
172.4375;94.36769754;529;21.19049018
209.625;113.5422155;523;22.30034812
187.5;107.0996178;458;20.7668627
128.9375;82.50475151;337;16.76696531
69.8125;51.502377;170;10.70230327
9.76953125;12.12288302;0;3.052390482
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
