Unterchaching_mod;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;NUTS_0;NUTS_1;NUTS_2;NUTS_3
188;176.705;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
189;69.800;3;3;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
190;217.709;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
191;265.189;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
192;149.178;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
193;101.402;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
194;228.415;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
195;230.071;3;4;48.062;11.609;Germany;Bavaria;Munich;Unterhaching
196;244.199;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
197;97.073;3;4;48.062;11.609;Germany;Bavaria;Munich;Unterhaching
198;258.299;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
199;174.968;3;3;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
200;147.253;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
201;135.561;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
202;216.722;3;4;48.062;11.611;Germany;Bavaria;Munich;Unterhaching
203;159.767;3;4;48.062;11.610;Germany;Bavaria;Munich;Unterhaching
204;241.844;3;4;48.064;11.612;Germany;Bavaria;Munich;Unterhaching
205;97.854;3;4;48.064;11.611;Germany;Bavaria;Munich;Unterhaching
206;95.102;3;4;48.064;11.610;Germany;Bavaria;Munich;Unterhaching
207;226.496;3;4;48.062;11.608;Germany;Bavaria;Munich;Unterhaching
208;201.388;3;4;48.064;11.611;Germany;Bavaria;Munich;Unterhaching
209;325.272;3;3;48.064;11.611;Germany;Bavaria;Munich;Unterhaching
210;297.408;3;4;48.061;11.615;Germany;Bavaria;Munich;Unterhaching
211;115.386;3;4;48.061;11.614;Germany;Bavaria;Munich;Unterhaching
212;204.246;3;4;48.061;11.616;Germany;Bavaria;Munich;Unterhaching
213;105.151;3;4;48.062;11.614;Germany;Bavaria;Munich;Unterhaching
214;208.714;3;4;48.062;11.615;Germany;Bavaria;Munich;Unterhaching
215;171.182;3;4;48.061;11.616;Germany;Bavaria;Munich;Unterhaching
216;441.777;3;3;48.062;11.615;Germany;Bavaria;Munich;Unterhaching
217;610.422;3;3;48.062;11.615;Germany;Bavaria;Munich;Unterhaching
218;96.889;3;4;48.061;11.615;Germany;Bavaria;Munich;Unterhaching
219;371.386;3;3;48.059;11.621;Germany;Bavaria;Munich;Unterhaching
220;172.412;3;4;48.058;11.621;Germany;Bavaria;Munich;Unterhaching
221;326.475;3;3;48.059;11.622;Germany;Bavaria;Munich;Unterhaching
222;393.932;3;4;48.058;11.620;Germany;Bavaria;Munich;Unterhaching
223;177.557;3;3;48.058;11.622;Germany;Bavaria;Munich;Unterhaching
224;238.945;3;3;48.058;11.622;Germany;Bavaria;Munich;Unterhaching
225;109.096;3;4;48.056;11.620;Germany;Bavaria;Munich;Unterhaching
226;77.863;3;4;48.056;11.620;Germany;Bavaria;Munich;Unterhaching
227;129.224;3;4;48.057;11.620;Germany;Bavaria;Munich;Unterhaching
228;106.970;3;4;48.057;11.620;Germany;Bavaria;Munich;Unterhaching
229;467.431;3;4;48.055;11.621;Germany;Bavaria;Munich;Unterhaching
230;142.040;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
231;157.311;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
232;154.554;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
233;239.799;0;3;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
234;146.721;1;3;48.066;11.619;Germany;Bavaria;Munich;Unterhaching
235;165.773;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
236;300.068;3;4;48.063;11.615;Germany;Bavaria;Munich;Unterhaching
237;748.601;3;4;48.067;11.626;Germany;Bavaria;Munich;Unterhaching
238;1529.274;1;4;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
239;520.119;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
240;62.386;3;3;48.067;11.618;Germany;Bavaria;Munich;Unterhaching
241;166.614;3;4;48.062;11.616;Germany;Bavaria;Munich;Unterhaching
242;89.792;3;4;48.065;11.616;Germany;Bavaria;Munich;Unterhaching
243;94.584;3;2;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
244;234.506;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
245;742.566;3;4;48.067;11.624;Germany;Bavaria;Munich;Unterhaching
246;259.635;3;4;48.062;11.616;Germany;Bavaria;Munich;Unterhaching
