Unterchaching_mod;;;;;;;;;;;;;;;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;dist_to_heat_source;NUTS_0;NUTS_1;NUTS_2;NUTS_3;year_class;size_class;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;floors;area_corr_factor;storey_area;heated_area;dwellings;dwelling_size;occupants
137;184.127;3;3;48.060;11.620;1763.620;;;;;;;;;;;;;;;;;
138;448.036;0;3;48.060;11.619;1636.884;;;;;;;;;;;;;;;;;
139;197.515;3;4;48.061;11.621;1846.863;;;;;;;;;;;;;;;;;
140;318.997;3;3;48.060;11.622;1883.886;;;;;;;;;;;;;;;;;
141;440.102;3;3;48.065;11.614;1496.430;;;;;;;;;;;;;;;;;
142;258.412;3;4;48.065;11.616;1617.620;;;;;;;;;;;;;;;;;
143;98.912;3;4;48.065;11.615;1569.574;;;;;;;;;;;;;;;;;
144;284.954;3;3;48.065;11.613;1463.687;;;;;;;;;;;;;;;;;
145;658.436;3;3;48.065;11.613;1439.545;;;;;;;;;;;;;;;;;
146;104.017;3;2;48.065;11.615;1572.865;;;;;;;;;;;;;;;;;
147;165.691;3;4;48.065;11.616;1638.151;;;;;;;;;;;;;;;;;
148;234.895;3;4;48.065;11.615;1546.367;;;;;;;;;;;;;;;;;
149;170.105;3;4;48.065;11.615;1589.231;;;;;;;;;;;;;;;;;
150;507.753;3;2;48.066;11.615;1610.621;;;;;;;;;;;;;;;;;
151;205.134;2;4;48.065;11.614;1538.262;;;;;;;;;;;;;;;;;
152;407.855;3;3;48.065;11.614;1512.749;;;;;;;;;;;;;;;;;
153;487.888;3;3;48.065;11.615;1629.149;;;;;;;;;;;;;;;;;
154;161.595;3;3;48.065;11.615;1564.087;;;;;;;;;;;;;;;;;
155;182.376;0;4;48.065;11.614;1523.747;;;;;;;;;;;;;;;;;
156;145.742;3;3;48.065;11.613;1459.235;;;;;;;;;;;;;;;;;
157;108.170;3;3;48.065;11.615;1578.109;;;;;;;;;;;;;;;;;
158;191.807;3;3;48.065;11.616;1604.129;;;;;;;;;;;;;;;;;
159;61.148;1;4;48.072;11.604;1760.574;;;;;;;;;;;;;;;;;
160;248.870;3;3;48.072;11.605;1719.917;;;;;;;;;;;;;;;;;
161;84.543;1;4;48.071;11.605;1679.549;;;;;;;;;;;;;;;;;
162;301.866;3;4;48.072;11.605;1708.134;;;;;;;;;;;;;;;;;
163;840.745;3;4;48.071;11.608;1702.840;;;;;;;;;;;;;;;;;
164;316.277;3;4;48.071;11.607;1717.010;;;;;;;;;;;;;;;;;
165;145.212;2;4;48.061;11.610;1075.083;;;;;;;;;;;;;;;;;
166;144.108;3;3;48.062;11.612;1207.252;;;;;;;;;;;;;;;;;
167;175.546;3;2;48.062;11.612;1203.815;;;;;;;;;;;;;;;;;
168;191.096;3;2;48.062;11.612;1198.700;;;;;;;;;;;;;;;;;
169;183.034;3;3;48.062;11.612;1193.434;;;;;;;;;;;;;;;;;
170;378.527;2;4;48.071;11.602;1597.598;;;;;;;;;;;;;;;;;
171;146.370;2;4;48.071;11.602;1594.850;;;;;;;;;;;;;;;;;
172;191.784;3;4;48.071;11.602;1564.500;;;;;;;;;;;;;;;;;
173;266.589;3;4;48.071;11.602;1567.665;;;;;;;;;;;;;;;;;
174;938.005;2;4;48.069;11.605;1404.086;;;;;;;;;;;;;;;;;
175;265.016;3;4;48.066;11.611;1401.500;;;;;;;;;;;;;;;;;
176;153.508;2;4;48.069;11.605;1429.902;;;;;;;;;;;;;;;;;
177;53.511;3;4;48.070;11.600;1398.930;;;;;;;;;;;;;;;;;
178;248.123;3;4;48.069;11.600;1378.270;;;;;;;;;;;;;;;;;
179;224.159;3;4;48.062;11.611;1127.455;;;;;;;;;;;;;;;;;
180;136.549;3;4;48.062;11.611;1184.566;;;;;;;;;;;;;;;;;
181;178.928;3;4;48.062;11.608;1006.351;;;;;;;;;;;;;;;;;
182;155.988;3;4;48.062;11.611;1155.075;;;;;;;;;;;;;;;;;
183;134.105;3;4;48.062;11.610;1093.342;;;;;;;;;;;;;;;;;
184;231.728;3;4;48.062;11.610;1087.528;;;;;;;;;;;;;;;;;
185;347.958;3;4;48.063;11.610;1109.933;;;;;;;;;;;;;;;;;
186;200.594;3;4;48.062;11.610;1142.948;;;;;;;;;;;;;;;;;
187;114.222;3;4;48.062;11.610;1119.543;;;;;;;;;;;;;;;;;
188;176.705;3;4;48.062;11.611;1172.845;;;;;;;;;;;;;;;;;
189;69.800;3;3;48.062;11.611;1167.510;;;;;;;;;;;;;;;;;
190;217.709;3;4;48.062;11.610;1126.238;;;;;;;;;;;;;;;;;
191;265.189;3;4;48.062;11.610;1106.320;;;;;;;;;;;;;;;;;
192;149.178;3;4;48.062;11.610;1110.694;;;;;;;;;;;;;;;;;
193;101.402;3;4;48.062;11.610;1088.059;;;;;;;;;;;;;;;;;
194;228.415;3;4;48.062;11.611;1144.318;;;;;;;;;;;;;;;;;
195;230.071;3;4;48.062;11.609;1047.756;;;;;;;;;;;;;;;;;
196;244.199;3;4;48.062;11.611;1166.962;;;;;;;;;;;;;;;;;
197;97.073;3;4;48.062;11.609;1025.602;;;;;;;;;;;;;;;;;
198;258.299;3;4;48.062;11.611;1136.346;;;;;;;;;;;;;;;;;
199;174.968;3;3;48.062;11.611;1152.514;;;;;;;;;;;;;;;;;
200;147.253;3;4;48.062;11.610;1067.646;;;;;;;;;;;;;;;;;
201;135.561;3;4;48.062;11.610;1099.573;;;;;;;;;;;;;;;;;
202;216.722;3;4;48.062;11.611;1161.143;;;;;;;;;;;;;;;;;
203;159.767;3;4;48.062;11.610;1109.121;;;;;;;;;;;;;;;;;
204;241.844;3;4;48.064;11.612;1317.293;;;;;;;;;;;;;;;;;
205;97.854;3;4;48.064;11.611;1301.924;;;;;;;;;;;;;;;;;
206;95.102;3;4;48.064;11.610;1257.309;;;;;;;;;;;;;;;;;
207;226.496;3;4;48.062;11.608;963.180;;;;;;;;;;;;;;;;;
208;201.388;3;4;48.064;11.611;1287.454;;;;;;;;;;;;;;;;;
209;325.272;3;3;48.064;11.611;1279.538;;;;;;;;;;;;;;;;;
210;297.408;3;4;48.061;11.615;1400.644;;;;;;;;;;;;;;;;;
211;115.386;3;4;48.061;11.614;1367.193;;;;;;;;;;;;;;;;;
212;204.246;3;4;48.061;11.616;1442.606;;;;;;;;;;;;;;;;;
213;105.151;3;4;48.062;11.614;1374.075;;;;;;;;;;;;;;;;;
214;208.714;3;4;48.062;11.615;1453.623;;;;;;;;;;;;;;;;;
215;171.182;3;4;48.061;11.616;1433.932;;;;;;;;;;;;;;;;;
216;441.777;3;3;48.062;11.615;1422.390;;;;;;;;;;;;;;;;;
217;610.422;3;3;48.062;11.615;1396.765;;;;;;;;;;;;;;;;;
218;96.889;3;4;48.061;11.615;1416.556;;;;;;;;;;;;;;;;;
219;371.386;3;3;48.059;11.621;1808.253;;;;;;;;;;;;;;;;;
220;172.412;3;4;48.058;11.621;1801.084;;;;;;;;;;;;;;;;;
221;326.475;3;3;48.059;11.622;1815.883;;;;;;;;;;;;;;;;;
222;393.932;3;4;48.058;11.620;1705.245;;;;;;;;;;;;;;;;;
223;177.557;3;3;48.058;11.622;1860.762;;;;;;;;;;;;;;;;;
224;238.945;3;3;48.058;11.622;1842.867;;;;;;;;;;;;;;;;;
225;109.096;3;4;48.056;11.620;1720.454;;;;;;;;;;;;;;;;;
226;77.863;3;4;48.056;11.620;1714.255;;;;;;;;;;;;;;;;;
227;129.224;3;4;48.057;11.620;1700.397;;;;;;;;;;;;;;;;;
228;106.970;3;4;48.057;11.620;1671.495;;;;;;;;;;;;;;;;;
229;467.431;3;4;48.055;11.621;1776.965;;;;;;;;;;;;;;;;;
230;142.040;3;4;48.067;11.619;1948.721;;;;;;;;;;;;;;;;;
231;157.311;3;4;48.067;11.619;1909.106;;;;;;;;;;;;;;;;;
232;154.554;3;4;48.067;11.619;1937.202;;;;;;;;;;;;;;;;;
233;239.799;0;3;48.067;11.619;1964.016;;;;;;;;;;;;;;;;;
234;146.721;1;3;48.066;11.619;1956.020;;;;;;;;;;;;;;;;;
235;165.773;3;4;48.067;11.619;1925.737;;;;;;;;;;;;;;;;;
236;300.068;3;4;48.063;11.615;1455.738;;;;;;;;;;;;;;;;;
237;748.601;3;4;48.067;11.626;2424.560;;;;;;;;;;;;;;;;;
238;1529.274;1;4;48.066;11.621;2044.299;;;;;;;;;;;;;;;;;
239;520.119;3;4;48.064;11.616;1607.270;;;;;;;;;;;;;;;;;
240;62.386;3;3;48.067;11.618;1887.087;;;;;;;;;;;;;;;;;
241;166.614;3;4;48.062;11.616;1498.216;;;;;;;;;;;;;;;;;
242;89.792;3;4;48.065;11.616;1658.860;;;;;;;;;;;;;;;;;
243;94.584;3;2;48.065;11.618;1750.758;;;;;;;;;;;;;;;;;
244;234.506;3;4;48.067;11.619;1992.856;;;;;;;;;;;;;;;;;
245;742.566;3;4;48.067;11.624;2292.556;;;;;;;;;;;;;;;;;
246;259.635;3;4;48.062;11.616;1470.278;;;;;;;;;;;;;;;;;
247;963.131;1;2;48.066;11.620;1976.297;;;;;;;;;;;;;;;;;
248;116.696;3;3;48.067;11.627;2455.058;;;;;;;;;;;;;;;;;
249;167.108;3;4;48.064;11.617;1662.348;;;;;;;;;;;;;;;;;
250;573.308;0;4;48.064;11.614;1477.553;;;;;;;;;;;;;;;;;
251;74.988;1;3;48.066;11.620;1992.684;;;;;;;;;;;;;;;;;
252;355.460;3;3;48.065;11.617;1696.158;;;;;;;;;;;;;;;;;
253;140.167;3;3;48.065;11.618;1745.836;;;;;;;;;;;;;;;;;
254;571.278;1;4;48.066;11.622;2071.231;;;;;;;;;;;;;;;;;
255;519.797;3;4;48.063;11.615;1471.956;;;;;;;;;;;;;;;;;
256;136.395;3;4;48.067;11.618;1941.450;;;;;;;;;;;;;;;;;
257;582.767;3;4;48.067;11.626;2402.933;;;;;;;;;;;;;;;;;
258;548.510;3;4;48.063;11.616;1529.141;;;;;;;;;;;;;;;;;
259;371.560;0;4;48.067;11.627;2497.772;;;;;;;;;;;;;;;;;
260;706.848;1;4;48.066;11.621;2023.957;;;;;;;;;;;;;;;;;
261;160.964;3;4;48.064;11.616;1620.098;;;;;;;;;;;;;;;;;
262;271.597;3;4;48.067;11.618;1920.863;;;;;;;;;;;;;;;;;
263;82.175;3;4;48.062;11.616;1502.579;;;;;;;;;;;;;;;;;
264;128.353;1;3;48.066;11.621;2046.498;;;;;;;;;;;;;;;;;
265;132.918;3;4;48.065;11.617;1669.844;;;;;;;;;;;;;;;;;
266;78.778;3;4;48.067;11.619;1956.614;;;;;;;;;;;;;;;;;
267;113.585;3;4;48.064;11.616;1590.558;;;;;;;;;;;;;;;;;
268;336.235;3;4;48.062;11.616;1486.573;;;;;;;;;;;;;;;;;
269;227.186;1;4;48.066;11.620;2008.017;;;;;;;;;;;;;;;;;
270;123.585;3;2;48.067;11.627;2463.734;;;;;;;;;;;;;;;;;
271;1125.857;3;4;48.067;11.625;2352.483;;;;;;;;;;;;;;;;;
